DESC_PRODUTO;
CAMISETA MM MASC;201
CAMISETA MM;221
CAMISETA REGATA FEM;155
CAMISA ML FEM;03B0
CAMISA ML MASC;06LY
CAMISA POLO MM MASC;317
CAMISETA REGATA MASC;111
CAMISA FEM;6KBK
CAMISA MM MASC;4FY6
CAMISETA ML MASC;204
CAMISETA MM FEM;02D3
CAMISETA MM UNISSEX;2H4C
CAMISA PREGAS FASHION;01.04.0066
CAMISA PUNHO BRANCO;01.04.0185
CAMISA GOLA DESIGUAL;01.04.0418
CAMISA GOLA DESCONSTRUIDA;01.04.0423
CAMISA SMOCKING VOILE;01.09.0334
EST - CAMISA TENUAN SAMAMBAIA;15345
CAMISETA FRANZIDA;02.15.0044
CAMISETA BÁSICA ABERTURA COSTAS;02.17.0571
CAMISETA MG LONGA SILK OPTICO;02.17.0927
CAMISA VIP;02.17.1337
CAMISA EST M BUTTI OFF;02.17.3088
CAMISÃO SEDA TROMP POIL;07.93.1158
JARDINHERIA CAMINHO;08.04.0121
CAMISETA COM VOIL BORDADA;13.04.0142
TOP TRICOT CAMISETA;15.04.0033
CAMISOLA CLAUDIA;18.03.0008
CAMISOLA FLORES ABSTRATAS;208535
CAMISA CURTINHA PANTONE;209070
CAMISA TEXTURA BABADO PATI;211493
CAMISA MALHA BOLSO;211775
CAMISA BRANCA POÁ;212957
CAMISA OLIVIA  LIBERTY;213742
CAMISA CAN CAN GIRAFINHA;213934
CAMISA MANGA SINO;215396
CAMISA METALIZADA;215905
CAMISA JEANS ESTAMPA LOCALIZADA;217070
CAMISA JEANS MILK;222295
CAMISA PALA FLOCADA;222301
CAMISA BASICA;222386
CAMISA PATCH ONÇA JEANS;222428
CAMISA MACRAMÊ MIRA CHEVRON;222444
CAMISA CAMADAS COSTAS NEBEL;223093
CAMISOLA RENDA;223263
CAMISA JEANS MAXI ESTAMPA;223386
CAMISA JEANS RECORTE;223391
CAMISA MANGA LONGA BORBOFARM;223946
CAMISA MANGA LONGA BALI;223947
CAMISA CURTA ELIS;224404
CAMISA CURTA XADREZ;227111
CAMISA MANGA LONGA POESIA;228344
MACAQUINHO LISTRAS CAMISARIA;240234
CALCA PANTACOURT CAMINHO DELICADO;242947
CAMISA CIRALI;243285
CAMISA NUBIA;243289
CAMISA AMPLA;249641
SHORT CAMINHO;41.13.0001
CAMISOLA ONCINHA;50001828
CAMISA DE PRAIA UV;502386
BERMUDA CAMINHO;502807
CAMISETA BEBE MALHA PINHATA;519231
CAMISETA BEBE MALHA LOBITO;519232
CAMISA BEBE PEGANDO ONDA;519260
CAMISA BORDADA;521011
CAMISA JUNINO OLHA A CHUVA;521328
